id,age,sex,group,score_pre,score_post,diff
38,29,Male,Treatment,54.3,43.2,-11.099999999999994
39,32,Male,Control,34.3,69.8,35.5
40,28,Female,Treatment,40.5,58.8,18.299999999999997
41,28,Male,Treatment,35.5,63.7,28.200000000000003
42,34,Female,Treatment,29.3,77.4,48.10000000000001
43,31,Male,Treatment,62.6,61.1,-1.5
44,30,Female,Treatment,64.2,46.6,-17.6
45,28,Female,Treatment,28.6,62.9,34.3
46,28,Female,Treatment,55.1,47.5,-7.600000000000001
47,34,Female,Treatment,48.0,66.1,18.099999999999994
48,27,Male,Control,52.1,61.1,9.0
49,25,Female,Control,57.6,66.2,8.600000000000001
50,25,Male,Treatment,57.9,46.4,-11.5
51,27,Male,Treatment,49.4,37.3,-12.100000000000001
52,29,Female,Treatment,43.7,58.0,14.299999999999997
53,31,Female,Treatment,55.6,62.3,6.699999999999996
54,29,Female,Control,67.0,55.4,-11.600000000000001
55,26,Male,Control,36.5,51.0,14.5
56,18,Female,Treatment,41.7,51.2,9.5
57,32,Female,Control,47.4,50.6,3.200000000000003
58,22,Male,Control,40.6,60.5,19.9
59,27,Female,Control,45.2,40.8,-4.400000000000006
60,35,Female,Treatment,58.2,51.9,-6.300000000000004
61,30,Female,Control,53.0,60.7,7.700000000000003
62,23,Female,Treatment,47.5,54.5,7.0
63,32,Male,Control,49.0,49.6,0.6000000000000014
64,26,Male,Treatment,41.7,50.3,8.599999999999994
65,25,Female,Treatment,56.7,58.7,2.0
66,35,Male,Control,44.0,62.0,18.0
67,32,Female,Control,38.2,39.4,1.1999999999999957
68,47,Male,Treatment,43.6,75.9,32.300000000000004
69,22,Male,Treatment,49.0,58.1,9.100000000000001
70,28,Female,Treatment,63.8,54.0,-9.799999999999997
71,31,Male,Treatment,48.6,43.4,-5.200000000000003
72,36,Male,Control,44.8,46.8,2.0
73,26,Male,Treatment,70.3,61.8,-8.5
74,38,Male,Control,48.7,58.3,9.599999999999994
75,29,Female,Control,62.1,35.7,-26.4
76,24,Female,Treatment,53.8,44.9,-8.899999999999999
77,27,Female,Treatment,55.6,52.1,-3.5
78,28,Female,Treatment,37.8,44.1,6.300000000000004
79,27,Male,Control,52.6,72.1,19.499999999999993
80,25,Male,Control,44.1,65.1,20.999999999999993
81,27,Female,Control,37.7,49.3,11.599999999999994
82,34,Female,Treatment,52.5,38.3,-14.200000000000003
83,34,Female,Control,47.0,55.0,8.0
84,40,Female,Treatment,49.8,49.9,0.10000000000000142
85,23,Female,Treatment,58.5,49.2,-9.299999999999997
86,22,Male,Treatment,26.5,42.1,15.600000000000001
87,41,Male,Control,51.4,60.4,9.0
88,31,Female,Treatment,32.8,53.3,20.5
89,31,Female,Treatment,31.4,65.0,33.6
90,23,Male,Control,48.0,61.7,13.700000000000003
91,31,Male,Treatment,43.3,49.5,6.200000000000003
92,29,Male,Treatment,25.4,55.0,29.6
93,28,Female,Treatment,46.9,47.1,0.20000000000000284
94,35,Male,Treatment,49.6,54.8,5.199999999999996
95,23,Male,Treatment,60.1,43.9,-16.200000000000003
96,29,Male,Control,58.0,60.3,2.299999999999997
97,18,Female,Control,47.4,32.7,-14.699999999999996
98,31,Female,Control,32.6,57.1,24.5
99,21,Female,Control,45.9,53.4,7.5
100,39,Male,Control,52.2,61.0,8.799999999999997
101,20,Female,Treatment,54.7,44.4,-10.300000000000004
102,38,Female,Control,57.4,55.3,-2.1000000000000014
103,23,Female,Control,49.7,59.9,10.199999999999996
104,18,Female,Control,52.3,52.9,0.6000000000000014
105,29,Male,Treatment,43.2,55.2,12.0
106,29,Male,Treatment,45.1,53.5,8.399999999999999
107,22,Female,Control,53.9,49.7,-4.199999999999996
108,20,Female,Control,57.7,49.0,-8.700000000000003
109,14,Female,Treatment,36.8,39.4,2.6000000000000014
110,26,Male,Treatment,44.2,56.2,12.0
111,30,Male,Control,46.6,54.1,7.5
112,16,Female,Control,55.3,69.3,14.0
113,29,Male,Treatment,49.1,46.0,-3.1000000000000014
114,38,Female,Control,73.4,69.4,-4.0
115,17,Male,Treatment,50.8,65.0,14.200000000000003
116,31,Male,Treatment,42.2,31.8,-10.400000000000002
117,31,Female,Control,47.4,53.5,6.100000000000001
118,24,Male,Control,44.1,67.2,23.1
119,30,Male,Treatment,48.0,53.9,5.899999999999999
120,21,Male,Treatment,52.4,61.3,8.899999999999999
